"Year","Annual male melanoma incidence (age-adjusted per 10**5) Connecticut 1936-1972"
"1936",1.0
"1937",0.8
"1938",0.8
"1939",1.4
"1940",1.2
"1941",1.0
"1942",1.5
"1943",1.9
"1944",1.5
"1945",1.5
"1946",1.5
"1947",1.6
"1948",1.8
"1949",2.8
"1950",2.5
"1951",2.5
"1952",2.4
"1953",2.1
"1954",1.9
"1955",2.4
"1956",2.4
"1957",2.6
"1958",2.6
"1959",4.4
"1960",4.2
"1961",3.8
"1962",3.4
"1963",3.6
"1964",4.1
"1965",3.7
"1966",4.2
"1967",4.1
"1968",4.1
"1969",4.0
"1970",5.2
"1971",5.3
"1972",5.3

Annual male melanoma incidence (age-adjusted per 10**5) Connecticut 1936-1972

